latitude_surface_hole,longitude_surface_hole
32.354548,-102.236345
32.350122,-102.262023
32.350137,-102.261961
32.350151,-102.261898
32.361374,-102.221808
32.361417,-102.22162
32.36146,-102.221432
32.410481,-102.271641
32.410545,-102.271359
32.410513,-102.2715
32.424796,-102.267888
32.424787,-102.267787
32.424808,-102.267692
32.425191,-102.266019
32.425213,-102.265925
32.425234,-102.265831
32.423515,-102.26625
32.423537,-102.266157
32.423559,-102.266063
32.408496,-102.270948
32.408528,-102.270807
32.408529,-102.270657
32.852755,-101.177403
32.871131,-101.28186
32.777288,-101.687868
33.525531,-102.902794
33.51,-102.882198
33.520933,-102.916007
33.52935,-102.902768
33.529232,-102.897667
33.533127,-102.897753
33.544917,-102.897586
33.52622,-102.90367
33.527085,-102.895361
33.523599,-102.9003
33.531064,-102.890798
33.527582,-102.886441
31.291602,-102.610634
31.28986,-102.61028
31.302812,-102.520332
31.295059,-102.551549
31.297668,-102.555074
31.294313,-102.556037
31.296979,-102.54962
31.30037,-102.597472
30.51888,-101.313292
30.60898,-101.33499
31.074886,-101.495708
30.506884,-101.31281
30.612241,-101.337204
30.29503,-101.480193
30.690084,-101.554511
30.515983,-101.313066
30.513824,-101.32065
30.503761,-101.393718
30.507639,-101.393521
30.64141,-101.204171
30.602402,-101.327459
30.610037,-101.178861
30.474473,-101.384104
30.481629,-101.397087
30.507249,-101.393613
30.503393,-101.393838
30.543847,-101.049132
30.537668,-101.052013
30.615212,-100.986314
30.564865,-101.04931
30.562745,-101.06259
31.074279,-101.504795
31.077593,-101.469872
32.527171,-101.831227
32.951189,-101.905734
32.576853,-102.037634
32.533404,-102.077428
31.696877,-102.364691
31.706915,-102.384521
31.70344,-102.387778
31.690729,-102.374908
31.705517,-102.393548
31.701088,-102.396545
31.70799,-102.398361
31.712444,-102.395387
31.695253,-102.371966
31.701153,-102.378246
31.693525,-102.36233
32.686479,-102.709193
32.677423,-102.714783
32.570444,-102.513114
32.553936,-102.488853
32.551301,-102.513461
32.608955,-102.37024
31.687195,-101.776345
31.688714,-101.60869
31.689596,-101.670238
31.686351,-101.651546
31.687764,-101.678204
31.684481,-101.659745
31.691321,-101.679226
31.696605,-101.672446
31.687973,-101.661036
31.700161,-101.673544
31.681586,-101.61271
31.736647,-101.774174
31.664165,-101.742049
31.732414,-101.772291
31.667924,-101.74332
31.692198,-101.675277
31.703207,-101.754828
31.700949,-101.748928
31.701795,-101.745267
31.710233,-101.757145
31.702775,-101.741059
31.705846,-101.742212
31.709325,-101.743652
31.712882,-101.744366
31.71202,-101.74852
31.711436,-101.75308
31.745745,-101.750595
31.752879,-101.753114
31.747824,-101.741212
31.797259,-101.771486
31.793622,-101.770324
31.790046,-101.769257
31.786577,-101.768054
31.785582,-101.772206
31.784787,-101.776302
31.796369,-101.775285
31.730233,-101.735639
31.703446,-101.737098
31.716656,-101.713662
31.718554,-101.70599
